"Anio","Cve_estado","Estado","Tipo_delito","Casos"
"2018",1,"Aguascalientes","Incumplimiento de obligaciones de asistencia familiar",154
"2018",1,"Aguascalientes","Lesiones",5019
"2018",1,"Aguascalientes","Narcomenudeo",1716
"2018",1,"Aguascalientes","Otros delitos contra el patrimonio",0
"2018",1,"Aguascalientes","Otros delitos contra la familia",0
"2018",1,"Aguascalientes","Otros delitos contra la sociedad",0
"2018",1,"Aguascalientes","Otros delitos del Fuero Comun",2456
"2018",1,"Aguascalientes","Otros delitos que atentan contra la libertad personal",151
"2018",1,"Aguascalientes","Otros delitos que atentan contra la libertad y la seguridad sexual",342
"2018",1,"Aguascalientes","Otros delitos que atentan contra la vida y la integridad corporal",7
"2018",1,"Aguascalientes","Rapto",0
"2018",1,"Aguascalientes","Robo",15697
"2018",1,"Aguascalientes","Secuestro",10
"2018",1,"Aguascalientes","Trafico de menores",1
"2018",1,"Aguascalientes","Trata de personas",2
"2018",1,"Aguascalientes","Violacion equiparada",58
"2018",1,"Aguascalientes","Violacion simple",175
"2018",1,"Aguascalientes","Violencia de genero en todas sus modalidades distinta a la violencia familiar",5
"2018",1,"Aguascalientes","Violencia familiar",1610
"2019",1,"Aguascalientes","Aborto",10
"2019",1,"Aguascalientes","Abuso de confianza",710
"2019",1,"Aguascalientes","Abuso sexual",0
"2019",1,"Aguascalientes","Acoso sexual",0
"2019",1,"Aguascalientes","Allanamiento de morada",518
"2019",1,"Aguascalientes","Amenazas",3379
"2019",1,"Aguascalientes","Contra el medio ambiente",27
"2019",1,"Aguascalientes","Corrupcion de menores",76
"2019",1,"Aguascalientes","Daño a la propiedad",4004
"2019",1,"Aguascalientes","Delitos cometidos por servidores publicos",212
"2019",1,"Aguascalientes","Despojo",366
"2019",1,"Aguascalientes","Electorales",15
"2019",1,"Aguascalientes","Evasion de presos",2
"2019",1,"Aguascalientes","Extorsion",116
"2019",1,"Aguascalientes","Falsedad",90
"2019",1,"Aguascalientes","Falsificacion",813
"2019",1,"Aguascalientes","Feminicidio",5
"2019",1,"Aguascalientes","Fraude",1810
"2019",1,"Aguascalientes","Homicidio",269
"2019",1,"Aguascalientes","Hostigamiento sexual",104
"2019",1,"Aguascalientes","Incesto",1
"2019",1,"Aguascalientes","Incumplimiento de obligaciones de asistencia familiar",217
"2019",1,"Aguascalientes","Lesiones",5003
"2019",1,"Aguascalientes","Narcomenudeo",2206
"2019",1,"Aguascalientes","Otros delitos contra el patrimonio",191
"2019",1,"Aguascalientes","Otros delitos contra la familia",0
"2019",1,"Aguascalientes","Otros delitos contra la sociedad",1
"2019",1,"Aguascalientes","Otros delitos del Fuero Comun",2080
"2019",1,"Aguascalientes","Otros delitos que atentan contra la libertad personal",331
"2019",1,"Aguascalientes","Otros delitos que atentan contra la libertad y la seguridad sexual",391
"2019",1,"Aguascalientes","Otros delitos que atentan contra la vida y la integridad corporal",12
"2019",1,"Aguascalientes","Rapto",0
